"id","status_group"
31866,"non functional"
71178,"non functional"
60279,"functional"
28615,"non functional"
8744,"functional"
48308,"functional"
49626,"non functional"
38098,"functional"
30309,"functional"
8015,"non functional"
3496,"non functional"
56971,"non functional"
68616,"functional"
8646,"non functional"
74104,"functional"
37501,"functional"
33001,"non functional"
69202,"functional"
68409,"functional"
51847,"non functional"
55647,"non functional"
17923,"non functional"
71743,"functional"
51539,"non functional"
73819,"functional"
66881,"functional"
58768,"non functional"
2648,"functional"
68933,"functional"
12427,"non functional"
16633,"non functional"
24123,"non functional"
58551,"functional"
17132,"non functional"
3027,"functional"
2651,"functional"
25998,"non functional"
63400,"functional"
50028,"functional"
67897,"non functional"
21425,"non functional"
71756,"non functional"
16862,"functional"
15420,"non functional"
47784,"functional"
712,"functional"
54368,"non functional"
2866,"functional"
51130,"functional"
27993,"non functional"
21621,"non functional"
66038,"non functional"
42182,"functional"
17694,"non functional"
57759,"functional"
47978,"functional"
52359,"non functional"
69656,"functional"
24086,"functional"
43579,"non functional"
43284,"non functional"
2877,"non functional"
21171,"functional"
40982,"non functional"
48396,"functional"
13323,"functional"
28467,"non functional"
2768,"functional"
73593,"functional"
65164,"non functional"
69976,"non functional"
52145,"non functional"
49259,"functional"
23542,"non functional"
69848,"functional"
9305,"functional"
14359,"non functional"
28925,"functional"
21243,"functional"
10616,"non functional"
73667,"non functional"
20566,"non functional"
63711,"functional"
72840,"non functional"
31651,"functional"
3782,"functional"
6799,"non functional"
21402,"functional"
35390,"functional"
12636,"non functional"
36887,"non functional"
20086,"non functional"
5634,"functional"
48029,"non functional"
29927,"functional"
2930,"functional"
41800,"non functional"
68349,"functional"
61678,"functional"
30270,"non functional"
4678,"non functional"
9392,"non functional"
20735,"functional"
49300,"non functional"
70339,"functional"
25572,"functional"
61445,"non functional"
32190,"functional"
39189,"functional"
14853,"non functional"
52207,"non functional"
48035,"non functional"
73122,"functional"
16352,"non functional"
42721,"functional"
15116,"functional"
7837,"non functional"
56907,"functional"
46382,"functional"
64521,"non functional"
67362,"non functional"
61861,"non functional"
72139,"functional"
3398,"non functional"
62911,"functional"
48152,"functional"
48001,"non functional"
64118,"functional"
65793,"functional"
61557,"non functional"
32352,"non functional"
1830,"non functional"
50553,"functional"
51961,"non functional"
38481,"functional"
48371,"functional"
56540,"non functional"
18142,"functional"
72934,"functional"
39300,"non functional"
40115,"non functional"
3793,"non functional"
59318,"functional"
68070,"non functional"
67527,"functional"
34898,"functional"
26592,"non functional"
67682,"functional"
52394,"functional"
32218,"non functional"
69045,"non functional"
12808,"non functional"
49250,"functional"
64126,"non functional"
64903,"functional"
35165,"functional"
9543,"non functional"
64635,"functional"
47929,"functional"
28329,"non functional"
67954,"non functional"
16575,"non functional"
16612,"functional"
27003,"non functional"
73324,"functional"
7043,"functional"
22174,"non functional"
19450,"functional"
35825,"functional"
9854,"non functional"
23254,"non functional"
72170,"non functional"
61999,"functional"
70354,"non functional"
6877,"functional"
47323,"functional"
48624,"non functional"
6148,"functional"
59698,"functional"
67268,"non functional"
59174,"non functional"
68916,"non functional"
28358,"functional"
57453,"non functional"
71952,"functional"
1761,"functional"
15234,"non functional"
60021,"functional"
22567,"functional"
17695,"non functional"
19872,"non functional"
22828,"non functional"
34896,"functional"
35570,"non functional"
41325,"functional"
8831,"functional"
5345,"non functional"
19379,"functional"
5514,"functional"
61654,"non functional"
40482,"non functional"
43123,"non functional"
40492,"functional"
68733,"non functional"
3952,"functional"
70288,"functional"
30085,"non functional"
65837,"functional"
34752,"functional"
2465,"non functional"
11466,"non functional"
22313,"non functional"
30179,"functional"
23505,"non functional"
48424,"functional"
11150,"functional"
70368,"non functional"
26935,"functional"
5919,"functional"
2134,"non functional"
16652,"non functional"
59302,"non functional"
24210,"functional"
6211,"non functional"
19743,"functional"
10760,"functional"
48104,"non functional"
50171,"functional"
63137,"functional"
38301,"non functional"
10948,"non functional"
33232,"non functional"
61415,"functional"
69131,"non functional"
73555,"functional"
46610,"functional"
20922,"non functional"
55743,"functional"
19341,"functional"
9588,"non functional"
3293,"non functional"
55490,"non functional"
67678,"functional"
36119,"non functional"
62775,"functional"
68162,"functional"
66128,"non functional"
12036,"functional"
15739,"functional"
57048,"non functional"
15825,"non functional"
45590,"non functional"
18055,"functional"
34073,"non functional"
14860,"functional"
53713,"functional"
69327,"non functional"
60169,"functional"
26798,"functional"
37122,"non functional"
45156,"non functional"
22874,"non functional"
58774,"functional"
40092,"non functional"
17487,"functional"
35886,"functional"
49892,"non functional"
66338,"functional"
35481,"functional"
4135,"non functional"
54191,"non functional"
31349,"non functional"
72271,"functional"
48863,"non functional"
13758,"functional"
33443,"functional"
12003,"non functional"
10845,"functional"
47,"functional"
70492,"non functional"
11346,"non functional"
20126,"non functional"
51000,"functional"
64505,"non functional"
58329,"functional"
6311,"functional"
22286,"non functional"
35013,"functional"
6274,"functional"
30904,"non functional"
46606,"non functional"
18461,"non functional"
15256,"functional"
625,"non functional"
42122,"functional"
18277,"functional"
68501,"non functional"
8816,"functional"
62879,"functional"
18554,"non functional"
27712,"non functional"
46935,"non functional"
57804,"functional"
57711,"non functional"
5516,"functional"
8305,"functional"
57410,"non functional"
51412,"functional"
25863,"functional"
35994,"non functional"
55279,"non functional"
74102,"non functional"
38277,"functional"
1998,"non functional"
52056,"functional"
63679,"functional"
71762,"non functional"
71432,"functional"
45592,"functional"
13663,"non functional"
62227,"non functional"
3730,"non functional"
2451,"functional"
46418,"non functional"
45996,"functional"
60911,"functional"
46089,"non functional"
65579,"functional"
40407,"functional"
66663,"non functional"
26597,"non functional"
50540,"non functional"
58133,"functional"
1493,"non functional"
31503,"functional"
17910,"functional"
19466,"non functional"
38120,"functional"
66553,"functional"
31696,"non functional"
51318,"non functional"
33584,"non functional"
48678,"functional"
36112,"non functional"
6294,"functional"
40612,"functional"
62793,"non functional"
58090,"functional"
2532,"functional"
38865,"non functional"
35462,"non functional"
51709,"non functional"
40624,"functional"
41745,"non functional"
42315,"functional"
38952,"functional"
45540,"non functional"
73833,"functional"
27771,"functional"
9336,"non functional"
12545,"non functional"
54811,"non functional"
48326,"functional"
31787,"non functional"
61745,"functional"
42091,"functional"
43727,"non functional"
46917,"functional"
26718,"functional"
3138,"non functional"
72932,"non functional"
25707,"non functional"
68580,"functional"
25064,"non functional"
7624,"functional"
3830,"functional"
13458,"non functional"
57377,"functional"
37294,"functional"
39561,"non functional"
23237,"non functional"
72484,"non functional"
56490,"functional"
13706,"non functional"
43035,"functional"
14084,"functional"
55875,"non functional"
17299,"functional"
1793,"functional"
70943,"non functional"
65720,"non functional"
49165,"non functional"
18879,"functional"
3574,"non functional"
56735,"functional"
45481,"functional"
51772,"non functional"
74095,"functional"
54000,"functional"
34834,"non functional"
50175,"non functional"
35733,"non functional"
6808,"functional"
27311,"non functional"
73303,"functional"
70335,"functional"
2691,"non functional"
12582,"functional"
49536,"functional"
23715,"non functional"
45445,"non functional"
52609,"non functional"
35087,"functional"
42767,"non functional"
24373,"functional"
32895,"functional"
9328,"non functional"
23275,"functional"
20054,"functional"
8378,"non functional"
47432,"non functional"
49863,"non functional"
57828,"functional"
31169,"non functional"
38382,"functional"
31205,"functional"
23528,"non functional"
26507,"functional"
67091,"functional"
47734,"non functional"
927,"non functional"
48521,"non functional"
16963,"functional"
48233,"non functional"
58989,"functional"
2399,"functional"
23530,"non functional"
46271,"functional"
71726,"functional"
23526,"non functional"
49861,"non functional"
22619,"non functional"
41264,"functional"
20623,"non functional"
35694,"functional"
68210,"functional"
13446,"non functional"
11321,"functional"
56312,"functional"
19533,"non functional"
7275,"non functional"
48614,"non functional"
65873,"functional"
9008,"non functional"
36817,"functional"
25767,"functional"
38460,"non functional"
16756,"functional"
13310,"functional"
36514,"non functional"
57548,"non functional"
2809,"non functional"
70632,"functional"
17260,"non functional"
27950,"functional"
40629,"functional"
64155,"non functional"
50640,"functional"
67355,"functional"
32132,"non functional"
70868,"non functional"
45823,"non functional"
19985,"functional"
61834,"non functional"
54171,"functional"
62763,"functional"
42408,"non functional"
13151,"functional"
28311,"functional"
57775,"non functional"
37603,"non functional"
56357,"non functional"
37845,"functional"
57177,"non functional"
12821,"functional"
8193,"functional"
49031,"non functional"
14011,"functional"
33708,"functional"
68898,"non functional"
37198,"non functional"
11151,"non functional"
22264,"functional"
49694,"non functional"
47318,"functional"
46108,"functional"
28297,"non functional"
36340,"functional"
26987,"functional"
5766,"non functional"
25979,"non functional"
73021,"non functional"
11908,"functional"
47496,"non functional"
61777,"functional"
47591,"functional"
8968,"non functional"
45656,"functional"
39630,"functional"
2786,"non functional"
958,"non functional"
55843,"non functional"
52074,"functional"
23422,"non functional"
55802,"functional"
61634,"functional"
1625,"non functional"
37398,"functional"
51011,"functional"
49595,"non functional"
22486,"non functional"
22916,"non functional"
45204,"functional"
74223,"non functional"
35533,"functional"
30595,"functional"
47319,"non functional"
32555,"functional"
9520,"functional"
53253,"non functional"
36436,"non functional"
15036,"non functional"
23175,"functional"
41998,"non functional"
19345,"functional"
1198,"functional"
39848,"non functional"
39278,"functional"
39844,"functional"
17332,"non functional"
51287,"non functional"
49514,"non functional"
64288,"functional"
41782,"non functional"
54572,"functional"
68079,"functional"
68017,"non functional"
66705,"functional"
5274,"functional"
58230,"non functional"
51010,"non functional"
46242,"non functional"
1917,"functional"
9361,"non functional"
33043,"functional"
56633,"functional"
57518,"non functional"
51128,"functional"
4388,"functional"
62267,"non functional"
72473,"non functional"
70957,"non functional"
35399,"functional"
33236,"non functional"
73183,"functional"
52939,"functional"
66929,"non functional"
54326,"functional"
16343,"functional"
33013,"non functional"
60384,"non functional"
41074,"non functional"
71997,"functional"
35190,"non functional"
3425,"functional"
4335,"functional"
7399,"non functional"
46431,"functional"
40845,"functional"
27347,"non functional"
10981,"non functional"
36447,"non functional"
67485,"functional"
11220,"non functional"
45857,"functional"
21806,"functional"
8771,"non functional"
45535,"functional"
8671,"functional"
2252,"non functional"
58078,"non functional"
61068,"non functional"
69204,"functional"
28326,"non functional"
46930,"functional"
52104,"functional"
31732,"non functional"
21584,"functional"
17045,"functional"
14404,"non functional"
34699,"non functional"
39930,"non functional"
38744,"functional"
4339,"non functional"
54735,"functional"
51916,"functional"
58114,"non functional"
28339,"functional"
52048,"functional"
66497,"non functional"
18353,"non functional"
16701,"non functional"
59499,"functional"
66042,"non functional"
43965,"functional"
48361,"functional"
70766,"non functional"
9510,"functional"
28586,"functional"
28521,"non functional"
18050,"non functional"
73151,"non functional"
45011,"functional"
64380,"non functional"
66896,"functional"
40184,"functional"
67207,"non functional"
70178,"functional"
54063,"functional"
39252,"non functional"
53773,"non functional"
47931,"non functional"
44168,"functional"
66540,"non functional"
54089,"functional"
29244,"functional"
27525,"non functional"
58991,"functional"
18087,"functional"
67803,"non functional"
48006,"non functional"
11788,"non functional"
16100,"functional"
16382,"non functional"
21208,"functional"
8637,"functional"
67008,"non functional"
67914,"functional"
7041,"functional"
43181,"non functional"
26191,"non functional"
14766,"non functional"
49812,"functional"
12705,"non functional"
25422,"functional"
9399,"functional"
4239,"non functional"
49442,"functional"
32,"functional"
11443,"non functional"
15492,"non functional"
63498,"non functional"
12708,"functional"
19483,"non functional"
31204,"functional"
33445,"functional"
40820,"non functional"
10279,"functional"
46718,"functional"
39000,"non functional"
45897,"non functional"
62154,"non functional"
50034,"functional"
11853,"non functional"
40426,"functional"
41168,"functional"
58978,"non functional"
31363,"functional"
32736,"functional"
29058,"non functional"
23824,"non functional"
61885,"non functional"
59187,"functional"
73243,"non functional"
62915,"functional"
1784,"functional"
65951,"non functional"
20661,"functional"
55504,"functional"
66975,"non functional"
72057,"non functional"
49331,"non functional"
52682,"functional"
37859,"non functional"
10460,"functional"
12407,"functional"
69993,"non functional"
13012,"functional"
70896,"functional"
13264,"non functional"
51824,"non functional"
60216,"non functional"
57481,"functional"
3996,"non functional"
24854,"functional"
43420,"functional"
70468,"non functional"
38305,"functional"
57179,"functional"
70388,"non functional"
67589,"non functional"
69974,"non functional"
8854,"functional"
71663,"non functional"
69272,"functional"
49119,"functional"
15638,"non functional"
9086,"functional"
56422,"functional"
39106,"non functional"
4515,"non functional"
48594,"non functional"
63779,"functional"
60740,"non functional"
61242,"functional"
65001,"functional"
2601,"non functional"
52456,"functional"
21873,"functional"
25505,"non functional"
21890,"non functional"
52336,"non functional"
57756,"functional"
45465,"non functional"
4989,"functional"
51585,"functional"
50533,"non functional"
54866,"functional"
23793,"functional"
50135,"non functional"
26549,"non functional"
66920,"non functional"
35517,"functional"
390,"non functional"
13645,"functional"
39327,"functional"
58900,"non functional"
2100,"functional"
31521,"functional"
277,"non functional"
33937,"non functional"
42545,"non functional"
7614,"functional"
46861,"non functional"
35278,"functional"
71773,"functional"
52392,"non functional"
47229,"functional"
10716,"functional"
13923,"non functional"
42206,"non functional"
965,"non functional"
66646,"functional"
17301,"non functional"
21533,"functional"
37797,"functional"
19241,"non functional"
15296,"functional"
41472,"functional"
73859,"non functional"
20153,"non functional"
71684,"non functional"
8321,"functional"
68979,"non functional"
48850,"functional"
64251,"functional"
3583,"non functional"
33326,"functional"
8500,"functional"
67047,"non functional"
24896,"non functional"
39527,"non functional"
3089,"functional"
66477,"non functional"
24107,"functional"
7823,"functional"
32016,"non functional"
35048,"functional"
70580,"functional"
47503,"non functional"
37357,"non functional"
1195,"non functional"
52309,"functional"
19655,"non functional"
39455,"functional"
52757,"functional"
62729,"non functional"
24324,"functional"
51298,"functional"
17127,"non functional"
28152,"non functional"
14259,"non functional"
47461,"functional"
65878,"non functional"
58913,"functional"
70035,"functional"
37446,"non functional"
30337,"functional"
57584,"functional"
67193,"non functional"
62103,"non functional"
22896,"non functional"
5934,"functional"
61722,"non functional"
9299,"functional"
68558,"functional"
51165,"non functional"
8657,"functional"
54952,"functional"
53160,"non functional"
17393,"non functional"
33016,"non functional"
25929,"functional"
41102,"non functional"
11093,"functional"
52744,"functional"
23484,"non functional"
13139,"functional"
55439,"functional"
41539,"non functional"
47692,"non functional"
60165,"non functional"
64683,"functional"
7089,"non functional"
13516,"functional"
47720,"functional"
22588,"non functional"
28580,"functional"
9075,"functional"
25066,"non functional"
28284,"non functional"
67568,"non functional"
64823,"functional"
8243,"non functional"
2556,"functional"
58746,"functional"
18288,"non functional"
72822,"functional"
5178,"functional"
66294,"non functional"
14451,"non functional"
48600,"non functional"
27513,"functional"
36889,"non functional"
663,"functional"
10646,"functional"
35103,"non functional"
50804,"functional"
29635,"functional"
47604,"non functional"
49844,"non functional"
69068,"non functional"
43074,"functional"
71088,"non functional"
40470,"functional"
21920,"functional"
51415,"non functional"
15480,"functional"
21881,"functional"
7780,"non functional"
24908,"non functional"
53915,"non functional"
54560,"functional"
15498,"non functional"
20446,"functional"
5886,"functional"
52883,"non functional"
30892,"functional"
37432,"functional"
42574,"non functional"
61505,"non functional"
44827,"non functional"
5951,"functional"
48991,"non functional"
22821,"functional"
46478,"functional"
19831,"non functional"
49317,"functional"
18472,"functional"
58686,"non functional"
47419,"non functional"
44921,"non functional"
55024,"functional"
28971,"non functional"
8108,"functional"
32182,"functional"
40513,"non functional"
372,"functional"
49297,"functional"
24407,"non functional"
44874,"non functional"
25119,"non functional"
3882,"functional"
73443,"non functional"
56056,"functional"
22035,"functional"
46318,"non functional"
20802,"functional"
41941,"functional"
12044,"non functional"
47262,"non functional"
19337,"non functional"
38688,"functional"
45341,"non functional"
55661,"functional"
32322,"functional"
41912,"non functional"
26136,"functional"
13480,"functional"
62035,"non functional"
50343,"non functional"
68537,"non functional"
52293,"functional"
17764,"non functional"
67862,"functional"
38933,"functional"
68514,"non functional"
65335,"functional"
27469,"functional"
31290,"non functional"
72594,"non functional"
2854,"non functional"
19679,"functional"
46470,"non functional"
9931,"functional"
39214,"functional"
3982,"non functional"
29633,"functional"
50872,"functional"
31969,"non functional"
51280,"non functional"
63438,"non functional"
52302,"functional"
44486,"non functional"
4641,"functional"
47724,"functional"
4393,"non functional"
54938,"functional"
66983,"functional"
55870,"non functional"
62561,"non functional"
7975,"non functional"
9418,"functional"
4929,"non functional"
68311,"functional"
15225,"functional"
51854,"non functional"
40247,"functional"
37958,"functional"
19319,"non functional"
27495,"non functional"
20111,"non functional"
33231,"functional"
44772,"non functional"
53237,"functional"
23279,"functional"
66738,"non functional"
73053,"functional"
31190,"functional"
54820,"non functional"
54173,"non functional"
40904,"non functional"
43729,"functional"
63132,"non functional"
65274,"functional"
2012,"functional"
70647,"non functional"
6067,"functional"
47835,"functional"
14510,"non functional"
34536,"non functional"
50168,"non functional"
65018,"functional"
4960,"non functional"
19291,"functional"
11480,"functional"
74179,"non functional"
46276,"functional"
69469,"functional"
51844,"non functional"
13340,"non functional"
34046,"non functional"
72429,"functional"
60034,"non functional"
36173,"functional"
66575,"functional"
33778,"non functional"
52807,"functional"
37283,"functional"
53688,"non functional"
54777,"non functional"
10363,"non functional"
42685,"functional"
29334,"non functional"
17320,"functional"
7060,"functional"
3905,"non functional"
14607,"functional"
59091,"functional"
44927,"non functional"
59415,"non functional"
59722,"non functional"
49411,"functional"
40903,"non functional"
64786,"functional"
36207,"functional"
61178,"non functional"
55377,"functional"
34300,"functional"
29483,"non functional"
58576,"non functional"
37659,"non functional"
63873,"functional"
55723,"non functional"
9950,"functional"
49680,"functional"
30329,"non functional"
64912,"functional"
21165,"functional"
42112,"non functional"
25108,"non functional"
55021,"non functional"
14319,"functional"
23587,"non functional"
27217,"functional"
62333,"functional"
3284,"non functional"
38299,"functional"
35668,"functional"
10228,"non functional"
67801,"non functional"
63324,"non functional"
33451,"functional"
46306,"non functional"
37149,"functional"
29770,"functional"
14731,"non functional"
7963,"functional"
55945,"functional"
7645,"non functional"
7244,"non functional"
40114,"non functional"
37615,"functional"
54151,"non functional"
64712,"functional"
40499,"functional"
71171,"non functional"
20712,"functional"
20187,"functional"
12383,"non functional"
33364,"non functional"
9646,"non functional"
12201,"functional"
1782,"non functional"
42747,"functional"
12125,"functional"
53260,"non functional"
55023,"functional"
7865,"functional"
66269,"non functional"
45049,"non functional"
4988,"non functional"
17387,"functional"
41771,"non functional"
44806,"functional"
9157,"functional"
70881,"non functional"
59951,"functional"
47581,"functional"
14986,"non functional"
71499,"non functional"
32928,"non functional"
11934,"functional"
54065,"non functional"
25479,"functional"
38302,"functional"
32973,"non functional"
52140,"functional"
51060,"functional"
33106,"non functional"
55127,"non functional"
8640,"non functional"
43117,"functional"
9966,"non functional"
11183,"functional"
72250,"functional"
50586,"non functional"
48093,"functional"
37435,"functional"
9379,"non functional"
65657,"non functional"
34535,"non functional"
26262,"functional"
14458,"non functional"
33972,"functional"
40238,"functional"
70610,"non functional"
47960,"functional"
71481,"functional"
10946,"non functional"
68239,"non functional"
56314,"non functional"
20772,"functional"
41027,"non functional"
57639,"functional"
42841,"functional"
8016,"non functional"
38349,"functional"
68114,"functional"
53733,"non functional"
53513,"non functional"
50420,"non functional"
31043,"functional"
11436,"non functional"
66544,"functional"
66297,"functional"
9975,"non functional"
21663,"functional"
66747,"functional"
8343,"non functional"
43675,"non functional"
12325,"non functional"
27609,"functional"
70092,"non functional"
4092,"functional"
60469,"functional"
15869,"non functional"
31689,"functional"
40197,"functional"
35039,"non functional"
19866,"non functional"
65864,"non functional"
54111,"functional"
65616,"non functional"
24954,"functional"
55924,"functional"
48299,"non functional"
51679,"functional"
7861,"functional"
74037,"non functional"
2367,"non functional"
60329,"non functional"
16467,"functional"
36876,"non functional"
42906,"functional"
58855,"functional"
48072,"non functional"
34861,"functional"
38446,"functional"
25076,"non functional"
42010,"non functional"
27880,"non functional"
49961,"functional"
32989,"non functional"
17483,"functional"
54815,"functional"
16359,"non functional"
54840,"functional"
6252,"functional"
46589,"non functional"
65044,"non functional"
52749,"non functional"
31792,"functional"
72814,"non functional"
19523,"functional"
32936,"functional"
28011,"non functional"
49940,"functional"
21296,"functional"
57692,"non functional"
60900,"non functional"
69726,"non functional"
4707,"functional"
5501,"non functional"
37805,"functional"
20466,"functional"
915,"non functional"
15844,"functional"
60509,"functional"
22552,"non functional"
47386,"non functional"
8521,"non functional"
54730,"functional"
58417,"non functional"
11731,"functional"
40490,"functional"
17385,"non functional"
63184,"functional"
45621,"functional"
42679,"non functional"
64602,"non functional"
33317,"non functional"
38658,"functional"
64299,"non functional"
36030,"functional"
18940,"functional"
45669,"non functional"
19668,"functional"
44209,"functional"
73269,"non functional"
72767,"non functional"
68471,"non functional"
907,"functional"
57724,"non functional"
19492,"functional"
18247,"functional"
61793,"non functional"
68182,"functional"
69769,"functional"
1580,"non functional"
9327,"non functional"
18330,"non functional"
9250,"functional"
29932,"non functional"
22830,"functional"
58200,"functional"
30920,"non functional"
9138,"functional"
50234,"functional"
54691,"non functional"
16393,"non functional"
56549,"non functional"
9832,"functional"
31881,"non functional"
12886,"functional"
58897,"functional"
830,"non functional"
15950,"functional"
26265,"functional"
46220,"non functional"
22347,"non functional"
2860,"non functional"
19021,"functional"
3484,"non functional"
30298,"functional"
39782,"functional"
74005,"non functional"
5674,"functional"
9381,"functional"
3895,"non functional"
1673,"non functional"
29551,"non functional"
41475,"functional"
67870,"non functional"
2791,"functional"
42255,"functional"
67164,"non functional"
12440,"functional"
13193,"functional"
60880,"non functional"
71008,"non functional"
67514,"non functional"
34910,"functional"
383,"non functional"
23977,"functional"
70543,"functional"
2906,"non functional"
33810,"functional"
10021,"functional"
46730,"non functional"
1663,"non functional"
2408,"non functional"
72505,"functional"
65019,"non functional"
42313,"functional"
340,"functional"
50285,"non functional"
3409,"functional"
26378,"functional"
47552,"non functional"
32262,"non functional"
58637,"non functional"
34827,"functional"
63294,"non functional"
44867,"functional"
26751,"functional"
66574,"non functional"
39354,"functional"
21479,"functional"
57899,"non functional"
60079,"non functional"
62070,"non functional"
20628,"functional"
11344,"non functional"
62122,"functional"
51867,"functional"
51667,"non functional"
16857,"functional"
27022,"functional"
10438,"non functional"
57755,"non functional"
22384,"non functional"
3380,"functional"
41843,"non functional"
35208,"functional"
37152,"functional"
47925,"non functional"
43946,"functional"
2932,"functional"
11829,"non functional"
59013,"non functional"
48338,"non functional"
71276,"functional"
62998,"non functional"
6708,"functional"
9969,"functional"
5567,"non functional"
61598,"functional"
20745,"functional"
72485,"non functional"
53890,"non functional"
62984,"non functional"
56024,"functional"
64958,"non functional"
36386,"functional"
12970,"functional"
63672,"non functional"
1545,"functional"
68416,"functional"
53929,"non functional"
59291,"non functional"
20931,"non functional"
18781,"functional"
15430,"non functional"
54042,"functional"
56896,"functional"
2579,"non functional"
65982,"functional"
8486,"functional"
15871,"non functional"
36433,"non functional"
65239,"non functional"
42513,"functional"
63248,"non functional"
2959,"functional"
64833,"functional"
54346,"non functional"
12284,"functional"
18056,"functional"
9415,"non functional"
10574,"non functional"
67761,"non functional"
2413,"functional"
60358,"non functional"
72803,"functional"
71644,"functional"
43929,"non functional"
23370,"functional"
38121,"functional"
71352,"non functional"
26630,"non functional"
72503,"non functional"
36667,"functional"
13838,"non functional"
73762,"functional"
56917,"functional"
64901,"non functional"
11878,"functional"
11761,"functional"
22410,"non functional"
29102,"non functional"
36539,"non functional"
9758,"functional"
28981,"non functional"
56273,"functional"
35854,"functional"
38840,"non functional"
32235,"functional"
36097,"functional"
54661,"non functional"
61700,"non functional"
71556,"non functional"
9296,"functional"
26823,"non functional"
45401,"functional"
862,"functional"
12857,"non functional"
60984,"functional"
68476,"functional"
18299,"non functional"
48846,"non functional"
6446,"non functional"
63522,"functional"
66298,"non functional"
39348,"functional"
25325,"functional"
38166,"non functional"
10753,"functional"
6496,"functional"
66416,"non functional"
47968,"non functional"
30436,"non functional"
53608,"functional"
66036,"non functional"
46595,"functional"
18890,"functional"
1978,"non functional"
10656,"functional"
69297,"functional"
43482,"non functional"
43158,"non functional"
18733,"non functional"
27893,"functional"
72342,"non functional"
37520,"functional"
11453,"functional"
39911,"non functional"
51620,"functional"
18133,"functional"
4572,"non functional"
55691,"non functional"
42966,"non functional"
66569,"functional"
7200,"non functional"
53136,"functional"
25723,"functional"
66123,"non functional"
7672,"functional"
37943,"functional"
2142,"non functional"
66405,"non functional"
13101,"non functional"
73963,"functional"
26444,"non functional"
19007,"functional"
71761,"functional"
1467,"non functional"
35518,"functional"
32922,"functional"
43852,"non functional"
29438,"non functional"
56706,"non functional"
39407,"functional"
58835,"non functional"
43397,"functional"
9994,"functional"
7622,"non functional"
34194,"functional"
13045,"functional"
32959,"non functional"
50876,"non functional"
31094,"non functional"
37473,"functional"
61430,"non functional"
47922,"functional"
52355,"functional"
65517,"non functional"
42861,"functional"
59615,"functional"
28406,"non functional"
3716,"non functional"
219,"non functional"
2079,"functional"
3612,"non functional"
50670,"functional"
33118,"functional"
25722,"non functional"
56582,"functional"
7760,"functional"
39295,"non functional"
68787,"non functional"
64264,"non functional"
35160,"functional"
49452,"non functional"
53668,"functional"
67380,"functional"
45974,"non functional"
11062,"functional"
27946,"functional"
50414,"non functional"
38773,"non functional"
39624,"non functional"
72477,"functional"
61146,"non functional"
22496,"functional"
39554,"functional"
23463,"non functional"
26384,"functional"
42071,"functional"
38972,"non functional"
44617,"non functional"
32282,"non functional"
8586,"functional"
36903,"non functional"
55556,"functional"
21436,"functional"
17030,"non functional"
51806,"functional"
44903,"functional"
1957,"non functional"
20102,"non functional"
39391,"non functional"
10871,"functional"
67815,"non functional"
19183,"functional"
17711,"functional"
59743,"non functional"
11844,"functional"
40062,"functional"
40682,"non functional"
71690,"non functional"
22833,"non functional"
16908,"functional"
43496,"non functional"
62050,"functional"
65634,"functional"
6309,"non functional"
38784,"functional"
38329,"functional"
69029,"non functional"
